Grid ID,Latitude,Longitude
1,20.125,-129.875
2,20.125,-129.625
3,20.125,-129.375
4,20.125,-129.125
5,20.125,-128.875
6,20.125,-128.625
7,20.125,-128.375
8,20.125,-128.125
9,20.125,-127.875
10,20.125,-127.625
11,20.125,-127.375
12,20.125,-127.125
13,20.125,-126.875
14,20.125,-126.625
15,20.125,-126.375
16,20.125,-126.125
17,20.125,-125.875
18,20.125,-125.625
19,20.125,-125.375
20,20.125,-125.125
21,20.125,-124.875
22,20.125,-124.625
23,20.125,-124.375
24,20.125,-124.125
25,20.125,-123.875
26,20.125,-123.625
27,20.125,-123.375
28,20.125,-123.125
29,20.125,-122.875
30,20.125,-122.625
31,20.125,-122.375
32,20.125,-122.125
33,20.125,-121.875
34,20.125,-121.625
35,20.125,-121.375
36,20.125,-121.125
37,20.125,-120.875
38,20.125,-120.625
39,20.125,-120.375
40,20.125,-120.125
41,20.125,-119.875
42,20.125,-119.625
43,20.125,-119.375
44,20.125,-119.125
45,20.125,-118.875
46,20.125,-118.625
47,20.125,-118.375
48,20.125,-118.125
49,20.125,-117.875
50,20.125,-117.625
51,20.125,-117.375
52,20.125,-117.125
53,20.125,-116.875
54,20.125,-116.625
55,20.125,-116.375
56,20.125,-116.125
57,20.125,-115.875
58,20.125,-115.625
59,20.125,-115.375
60,20.125,-115.125
61,20.125,-114.875
62,20.125,-114.625
63,20.125,-114.375
64,20.125,-114.125
65,20.125,-113.875
66,20.125,-113.625
67,20.125,-113.375
68,20.125,-113.125
69,20.125,-112.875
70,20.125,-112.625
71,20.125,-112.375
72,20.125,-112.125
73,20.125,-111.875
74,20.125,-111.625
75,20.125,-111.375
76,20.125,-111.125
77,20.125,-110.875
78,20.125,-110.625
79,20.125,-110.375
80,20.125,-110.125
81,20.125,-109.875
82,20.125,-109.625
83,20.125,-109.375
84,20.125,-109.125
85,20.125,-108.875
86,20.125,-108.625
87,20.125,-108.375
88,20.125,-108.125
89,20.125,-107.875
90,20.125,-107.625
91,20.125,-107.375
92,20.125,-107.125
93,20.125,-106.875
94,20.125,-106.625
95,20.125,-106.375
96,20.125,-106.125
97,20.125,-105.875
98,20.125,-105.625
99,20.125,-105.375
100,20.125,-105.125
101,20.125,-104.875
102,20.125,-104.625
103,20.125,-104.375
104,20.125,-104.125
105,20.125,-103.875
106,20.125,-103.625
107,20.125,-103.375
108,20.125,-103.125
109,20.125,-102.875
110,20.125,-102.625
111,20.125,-102.375
112,20.125,-102.125
113,20.125,-101.875
114,20.125,-101.625
115,20.125,-101.375
116,20.125,-101.125
117,20.125,-100.875
118,20.125,-100.625
119,20.125,-100.375
120,20.125,-100.125
121,20.125,-99.875
122,20.125,-99.625
123,20.125,-99.375
124,20.125,-99.125
125,20.125,-98.875
126,20.125,-98.625
127,20.125,-98.375
128,20.125,-98.125
129,20.125,-97.875
130,20.125,-97.625
131,20.125,-97.375
132,20.125,-97.125
133,20.125,-96.875
134,20.125,-96.625
135,20.125,-96.375
136,20.125,-96.125
137,20.125,-95.875
138,20.125,-95.625
139,20.125,-95.375
140,20.125,-95.125
141,20.125,-94.875
142,20.125,-94.625
143,20.125,-94.375
144,20.125,-94.125
145,20.125,-93.875
146,20.125,-93.625
147,20.125,-93.375
148,20.125,-93.125
149,20.125,-92.875
150,20.125,-92.625
151,20.125,-92.375
152,20.125,-92.125
153,20.125,-91.875
154,20.125,-91.625
155,20.125,-91.375
156,20.125,-91.125
157,20.125,-90.875
158,20.125,-90.625
159,20.125,-90.375
160,20.125,-90.125
161,20.125,-89.875
162,20.125,-89.625
163,20.125,-89.375
164,20.125,-89.125
165,20.125,-88.875
166,20.125,-88.625
167,20.125,-88.375
168,20.125,-88.125
169,20.125,-87.875
170,20.125,-87.625
171,20.125,-87.375
172,20.125,-87.125
